ArticleName;ArticleNr;ArticleSize;SaleYear;SaleM01;SaleM02;SaleM03;SaleM04;SaleM05;SaleM06;SaleM07;SaleM08;SaleM09;SaleM10;SaleM11;SaleM12;SaleQ1;SaleQ2;SaleQ3;SaleQ4;SaleTotal;
UP11N0516HF;1143208038;L;2020;1445,07;2619,71;2452,24;6983,43;4819,26;2876,73;792,77;6650,3;72,95;1256;1067,23;86,72;6517,02;14679,42;7516,02;2409,95;31122,41;
OI63J0639LK;1035779724;L;2020;2798,11;577,62;1138,11;1450,76;2449,33;3769,1;7686,05;282,88;5499,24;2173,75;7453,35;3817,05;4513,84;7669,19;13468,17;13444,15;39095,35;
EY53D0299GB;1198625154;XL;2020;7742,55;5373,02;5696,47;2546,22;992,51;2005,84;783,58;3813,44;2383,01;4726,26;3095,26;712,35;18812,04;5544,57;6980,03;8533,87;39870,51;
TC95Y0613OC;1973607911;XL;2020;369,87;9843,64;662,45;199,48;1950,2;2691,62;4671,64;492,63;1691,11;16,07;5230,81;778,61;10875,96;4841,3;6855,38;6025,49;28598,13;
TZ77Z0687RU;1245923319;XL;2020;2143,46;4873,83;624,29;3842,21;2554,11;2482,09;1564,36;2034,33;3859,35;1274,6;5008,51;725,68;7641,58;8878,41;7458,04;7008,79;30986,82;
JX92G0232FK;1618778034;XL;2020;2827,83;1861,22;1,5;6840,13;118,58;1268,16;3222,92;835,38;323,82;2120,89;622,88;1086,85;4690,55;8226,87;4382,12;3830,62;21130,16;
CE21H0485FJ;1463072860;XL;2020;2847,46;684,3;664,55;3850,89;4550,03;3905,77;7996,66;936,16;77,19;1651,3;1981,15;420,85;4196,31;12306,69;9010,01;4053,3;29566,31;
BF77F0331WS;1863365539;XXL;2020;1497,65;5087,1;8419,03;218,72;1466,17;29,34;3224,46;842,27;8274,13;327,06;1007,76;1113,16;15003,78;1714,23;12340,86;2447,98;31506,85;
PK97W0726WR;1100010670;XXL;2020;1191,69;846,83;1050,47;488,79;813,21;1506,53;44;376,78;338,16;7961,43;732,87;598,51;3088,99;2808,53;758,94;9292,81;15949,27;
MP17B0179MC;1217886331;XXL;2020;455,58;8417,54;3403,18;4092,14;195,54;111,92;8123,19;5457,7;1045,56;859,45;477,26;339,18;12276,3;4399,6;14626,45;1675,89;32978,24;
NP05D0982PM;1961011682;XXL;2020;4108,76;2066,95;140,61;1129,87;353,99;3117,38;355,57;3459,82;3281,11;1393,6;195,64;308,85;6316,32;4601,24;7096,5;1898,09;19912,15;
MU39M0941UT;1262554296;XXL;2020;97,48;205,51;6697,16;954,85;599,55;3112,97;2772,86;196,39;351,67;9003,82;1815,87;8186,12;7000,15;4667,37;3320,92;19005,81;33994,25;
US36T0102KP;1675607106;XXXL;2020;1629,65;4402,81;1454,78;6567,08;736,05;4228,21;6018,76;5149,79;6981,18;1478,41;4618,3;3413,89;7487,24;11531,34;18149,73;9510,6;46678,91;
FV02G0624GZ;1832970856;XXXL;2020;1763,89;0,21;529,75;1407,89;7953,83;8423,49;1223,35;1552,36;1260,55;4336,03;5910,79;1159,57;2293,85;17785,21;4036,26;11406,39;35521,71;
XP41S0002MH;1056404346;XXXL;2020;2409,62;589,28;5310,22;911,09;1061,57;1987,07;199,52;3,03;691,01;3656,76;3565,37;526,64;8309,12;3959,73;893,56;7748,77;20911,18;
RK79C0277VK;1424606704;XXXL;2020;8040,88;5338,04;5147,64;5301,57;2,9;5000,95;3422,86;2435,71;2668,05;1051,81;1861,56;2521,3;18526,56;10305,42;8526,62;5434,67;42793,27;
OF32K0220FU;1888738044;XXXL;2020;8272,81;1121,79;3040,06;498,56;2632,88;2778,3;6427,59;318,55;5644,56;3111,74;209,49;3415,06;12434,66;5909,74;12390,7;6736,29;37471,39;
EG36I0159LJ;1690156745;XS;2018;793,9;3672,13;185,67;115,61;1477,27;3092,29;1322,11;3648,67;1691,61;358,98;4642,28;5046,2;4651,7;4685,17;6662,39;10047,46;26046,72;
MW90A0784QA;1140816960;XS;2018;396,33;4713,39;72,99;4610,54;462,72;2663,56;33,37;2973,15;3387,47;9685,33;615,68;2220,76;5182,71;7736,82;6393,99;12521,77;31835,29;
MV93C0985FJ;1466651713;XS;2018;3340,59;246,74;4228;2179,16;3490,12;4284,24;1762,69;1937,3;894,02;5045,88;7411,05;431,83;7815,33;9953,52;4594,01;12888,76;35251,62;
HH79K0105FC;1174131156;XS;2018;3773,58;2164,45;665,24;125,7;3945,58;570,67;277,11;292,05;2651,43;1256,17;458,01;4374,09;6603,27;4641,95;3220,59;6088,27;20554,08;
KU66Z0151ND;1589200956;XS;2018;6517,32;3810,7;2894,88;2367,37;703,32;172,84;98,37;2060,06;1643,18;3709,66;940,08;43,09;13222,9;3243,53;3801,61;4692,83;24960,87;
HL51L0169DB;1868316518;S;2018;40,65;754,68;2675,04;1589,02;183,2;268,28;953,81;2152,16;585,22;1226;6005,48;4262,23;3470,37;2040,5;3691,19;11493,71;20695,77;
UX41C0352BD;1618550482;S;2018;751,6;1202,62;7324,75;2801,23;4805,35;3404,84;3772,71;7746,42;649,02;5616,31;1721,4;8897,91;9278,97;11011,42;12168,15;16235,62;48694,16;
NL12M0732NO;1647841657;S;2018;3889,91;129,02;3006,51;3532,45;4424,49;8725,89;1757,67;3392,77;108,95;111,19;3217,46;2294,82;7025,44;16682,83;5259,39;5623,47;34591,13;
GS97R0013IM;1401566068;S;2018;1407,71;4189,47;1123,7;874,34;2,86;1804,56;68,74;5526,25;607,17;1845,71;6205,16;4322,3;6720,88;2681,76;6202,16;12373,17;27977,97;
AS28U0081BS;1650703772;S;2018;3469,52;3978,83;3950,1;596,37;7222,98;4930,42;310,76;1735,04;452,09;3165,05;3154,99;2468,09;11398,45;12749,77;2497,89;8788,13;35434,24;
YJ13L0731LZ;1176806432;M;2018;6411;2896,94;302,31;1059,92;1329,37;720,32;909,88;813,44;5427,64;14,35;2942,16;126,4;9610,25;3109,61;7150,96;3082,91;22953,73;
AH74O0325JC;1814722929;M;2018;112,45;3103;209,68;141,17;6863,1;1631,23;432,7;4054,89;2299,32;2001,17;1149,87;1508,9;3425,13;8635,5;6786,91;4659,94;23507,48;
PS74J0802YP;1189768937;M;2018;5316,7;879,35;79,84;627,45;459,61;850,57;2230,54;6561,42;4941,59;4133,27;2366,42;1321,16;6275,89;1937,63;13733,55;7820,85;29767,92;
QS07T0332IA;1955121367;M;2018;396,35;2733,48;1512,26;6696,62;1418,44;463,77;2154,12;7537,47;4981,46;12,36;2494,66;8361,06;4642,09;8578,83;14673,05;10868,08;38762,05;
ZY76B0533IK;1475705711;M;2018;1810,55;194,64;797,91;673,19;4877,28;2314,46;429,33;1684,28;7622,07;2185,99;44,09;1483,6;2803,1;7864,93;9735,68;3713,68;24117,39;
HR61N0311HR;1383443029;L;2018;1461,93;1199,93;654,94;1645,78;1927,04;1892,16;1609,08;2908,36;2776,04;2396,63;288,85;2024,88;3316,8;5464,98;7293,48;4710,36;20785,62;
OB19U0459MZ;1015162288;L;2018;1425,64;6550,74;529,7;35,77;828,04;145,19;1949,99;6592,71;1286,56;8487,82;1024,63;468,34;8506,08;1009;9829,26;9980,79;29325,13;
XW20W0243AA;1017145763;L;2018;1726,78;211,67;887,65;68,78;2473,84;2104,21;59,12;1718,75;83,09;5348,75;1508,23;5710,9;2826,1;4646,83;1860,96;12567,88;21901,77;
CS18U0977LI;1024726249;L;2018;162,78;3475,49;1878,31;338,23;833,12;2737,32;2290,48;1107,38;1818,8;8912,84;2280,6;6851,05;5516,58;3908,67;5216,66;18044,49;32686,4;
MJ57W0890XJ;1332578090;L;2018;1166,83;6063,74;7109,21;170,45;327,72;4335,18;236,04;535,53;1230,31;806,24;54,01;3261,72;14339,78;4833,35;2001,88;4121,97;25296,98;
KR12B0354VD;1539632493;XL;2018;709,22;506,07;2328,92;3136,55;3016,86;6006,18;869,19;2040,26;552,31;495,35;422,58;361,68;3544,21;12159,59;3461,76;1279,61;20445,17;
UZ33M0001BX;1909659396;XL;2018;1051,05;65,7;672,25;1957,49;3030,7;1921,39;798,3;128,07;6960,16;4732,41;1673,27;432,17;1789;6909,58;7886,53;6837,85;23422,96;
AR76O0489TW;1035347813;XL;2018;103,12;421,89;2805,88;849,14;407,15;5382,92;4141,19;3693,25;1700,44;151,48;557,65;605,78;3330,89;6639,21;9534,88;1314,91;20819,89;
DC22Z0341KF;1664269987;XL;2018;885,65;542,57;3990,48;56,64;6398,73;3893,93;1539,63;230,28;1716,25;5508,45;2318,06;1545,06;5418,7;10349,3;3486,16;9371,57;28625,73;
VT74J0353GV;1981175304;XL;2018;303,35;1412,36;3,2;976,75;463,3;3533,38;2205,97;6748,09;132,12;700,64;2764,97;860,9;1718,91;4973,43;9086,18;4326,51;20105,03;
EX69G0163ZF;1931266983;XXL;2018;4441,81;3387,86;5964,53;39,32;1358,26;1601,22;44,94;772,4;4956,13;537,65;4553,89;1055,4;13794,2;2998,8;5773,47;6146,94;28713,41;
YT29B0177CB;1540696014;XXL;2018;162,37;1685,88;3000,93;202,11;231,68;3179,1;1664,68;6849,89;292,82;185,18;4304,52;2635,34;4849,18;3612,89;8807,39;7125,04;24394,5;
EM26O0971AT;1013272968;XXL;2018;2384,83;1783;399,23;1489,26;62,45;5303,8;2343,52;1792,42;1945,68;6154,47;1363,98;80,95;4567,06;6855,51;6081,62;7599,4;25103,59;
EK08L0485LT;1964018507;XXL;2018;402,21;2284,72;1052,36;5554,64;3291,41;1041,76;7193,92;2818,39;2027,24;326,32;6353,85;5630,98;3739,29;9887,81;12039,55;12311,15;37977,8;
VF78J0876QJ;1349118065;XXL;2018;176,46;333,63;5662,96;5328,33;3724,69;1347,69;1761,13;660,71;7732,84;3428,47;250,67;437,08;6173,05;10400,71;10154,68;4116,22;30844,66;
OY16N0305EW;1042378948;XXXL;2018;4624,63;8286,69;1455,92;6286,55;2244,79;936,87;7377,02;892,15;642,19;3904,21;4343,57;1851,43;14367,24;9468,21;8911,36;10099,21;42846,02;
SH58N0809YD;1225945300;XXXL;2018;718,62;1357,39;1865,29;206,11;32,62;5024,41;5202,2;2033,46;1504,18;1117,74;3404,06;34,97;3941,3;5263,14;8739,84;4556,77;22501,05;
OJ77F0754CW;1023259254;XXXL;2018;5091,26;394,49;448,64;3789,41;1863,52;3385,4;4929,83;577,17;8080,79;3712,65;4146,65;6841,51;5934,39;9038,33;13587,79;14700,81;43261,32;
YI94V0640JB;1361467914;XXXL;2018;2007,01;882,32;3287,02;604,79;2669,93;2396,74;1238,81;2520,23;705,17;64,7;3035,25;3728,21;6176,35;5671,46;4464,21;6828,16;23140,18;
DE10U0739FG;1986054285;XXXL;2018;232,96;5665,8;4762,05;2029,96;365,45;1433,45;4912,78;3031,28;414,84;7291,82;4834,72;122,72;10660,81;3828,86;8358,9;12249,26;35097,83;
EL94U0144KU;1743432081;XS;2018;5754,73;2195,03;2220,53;2457,9;4414,16;1028,39;3924;4419,8;1355,83;515,26;2631,18;1586,46;10170,29;7900,45;9699,63;4732,9;32503,27;
AF10V0632DB;1733936488;XS;2018;2176,58;5216,09;1635,11;6191,3;6232,61;363,94;1606,81;3046,53;1368,85;4183,42;6495,54;3236,92;9027,78;12787,85;6022,19;13915,88;41753,7;
VS17I0729OM;1517718854;XS;2018;531,87;2565,73;7068,57;3486,14;1580,97;2281,5;240,91;1865,32;381,85;3876,88;226,94;701,41;10166,17;7348,61;2488,08;4805,23;24808,09;
VU27C0280DW;1446810130;XS;2018;2195,74;164,84;2764,79;7780,78;1207,73;684,15;119,84;2544,37;663,87;3062,65;6367,97;30,46;5125,37;9672,66;3328,08;9461,08;27587,19;
RH58W0597BT;1108831624;XS;2018;312,19;420,14;49,25;1180,12;777,35;406,62;5183,73;6902,34;1369,68;1604,01;4785,74;2781,65;781,58;2364,09;13455,75;9171,4;25772,82;
RA85W0090CV;1878033628;S;2018;512,56;2154,3;104,13;5693,97;1297,49;305,34;215,94;135,6;475,3;2755,91;3100,3;1529,89;2770,99;7296,8;826,84;7386,1;18280,73;
NR73Z0326AI;1266818833;S;2018;2602,53;3583,66;22,08;5760,76;2415,27;5748,95;3454,31;5362,38;6810,58;5073,52;1626,32;4234,6;6208,27;13924,98;15627,27;10934,44;46694,96;
NY74K0435IR;1490370960;S;2018;91,56;122,38;2060,16;2667,58;3229,4;8664,44;1176,81;6415,65;2997,75;808,15;6383,61;104,2;2274,1;14561,42;10590,21;7295,96;34721,69;
AP40G0093KP;1796173640;S;2018;11,87;3783,94;477,03;144,95;205,12;1273,66;3885,43;6408,36;1192,42;1660,34;5372,14;3005,99;4272,84;1623,73;11486,21;10038,47;27421,25;
AR33A0764AC;1989929664;S;2018;886,16;1105,02;1811,71;8008,14;2162,51;2908,63;2020,55;829,04;2721,51;118,36;6865,37;210,79;3802,89;13079,28;5571,1;7194,52;29647,79;
PD01M0436JV;1719709016;M;2018;1847,26;4222,16;3310,98;3,02;3818,41;9385,26;3865,72;1149,54;2772,05;736,78;1086,91;947,33;9380,4;13206,69;7787,31;2771,02;33145,42;
XV44N0145RT;1325184909;M;2018;1516,98;1,09;5038,8;3238,25;253,19;1261,19;1991,23;4736,14;277,64;2443,59;6001,53;5176,03;6556,87;4752,63;7005,01;13621,15;31935,66;
FT47R0264UA;1264095382;M;2018;2581,96;5157,47;1777,95;5445,7;4966,35;6281,23;2562,61;1133,55;1352,87;5640,43;5008,18;2223,98;9517,38;16693,28;5049,03;12872,59;44132,28;
EC07W0363CX;1671062442;M;2018;824,09;1206,51;4910,61;5675,21;4177,31;1214,66;63,65;2625,43;87,08;1269,7;3760,49;3607,58;6941,21;11067,18;2776,16;8637,77;29422,32;
GF48M0011UJ;1625618593;M;2018;3406,54;169,71;352,73;303,29;1154,78;1680,4;551,57;3239,97;2005,72;4629,52;714,62;3523,89;3928,98;3138,47;5797,26;8868,03;21732,74;
